Queue Utilization, Buffer Length, P_Loss, P_Idle, Average Packets in Queue, Arrivals, Departures, Observations, Total Time
0.5, 10, 0.000427357, 0.414477, 0.991924, 250376, 250269, 1248814, 1000
0.6, 10, 0.00256807, 0.332186, 1.47373, 300225, 299454, 1501878, 1000
0.7, 10, 0.00818078, 0.252262, 2.09809, 350089, 347225, 1749162, 1000
0.8, 10, 0.0230248, 0.180993, 2.9568, 399134, 389944, 1999765, 1000.01
0.9, 10, 0.0504249, 0.118526, 3.99727, 450968, 428228, 2252562, 1000
1, 10, 0.0902754, 0.0757242, 4.99425, 499405, 454321, 2500627, 1000
1.1, 10, 0.14152, 0.0444102, 5.96017, 551109, 473116, 2751066, 1000.01
1.2, 10, 0.192828, 0.0253194, 6.71575, 600805, 484953, 3000474, 1000.01
1.3, 10, 0.245561, 0.0144903, 7.32892, 650106, 490465, 3251504, 1000.01
1.4, 10, 0.292066, 0.00821186, 7.77933, 700804, 496123, 3504774, 1000.03
1.5, 10, 0.336176, 0.00487308, 8.12757, 749861, 497776, 3752902, 1000.02
1.6, 10, 0.377255, 0.00247449, 8.41774, 800368, 498425, 4005237, 1000.02
1.7, 10, 0.413346, 0.00171321, 8.60116, 850530, 498967, 4258490, 1000.02
1.8, 10, 0.44644, 0.000937811, 8.77881, 900112, 498266, 4511190, 1000.03
1.9, 10, 0.475367, 0.000553621, 8.91386, 950316, 498567, 4759186, 1000.01
2, 10, 0.501687, 0.000351951, 9.02299, 1000601, 498613, 5010387, 1000.03
2.2, 10, 0.545835, 0.000159614, 9.17891, 1102385, 500665, 5513992, 1000.04
2.4, 10, 0.583799, 6.23451e-05, 9.29707, 1199907, 499403, 6020630, 1000.03
2.6, 10, 0.615127, 3.24358e-05, 9.38376, 1297825, 499498, 6525324, 1000.02
2.8, 10, 0.642879, 2.24256e-05, 9.45263, 1398359, 499384, 7029550, 1000.02
3, 10, 0.666903, 1.20175e-05, 9.51249, 1500764, 499900, 7532531, 1000.02
3.2, 10, 0.687565, 3.49713e-06, 9.55402, 1600368, 500011, 8041956, 1000.01
3.4, 10, 0.705313, 4.97639e-06, 9.59126, 1699234, 500742, 8554517, 1000.01
3.6, 10, 0.722325, 2.23902e-06, 9.62437, 1800168, 499861, 9062286, 1000.02
3.8, 10, 0.736914, 9.94547e-07, 9.65185, 1899191, 499651, 9574814, 1000.02
4, 10, 0.749892, 0, 9.67612, 1999848, 500177, 10089780, 1000.02
4.2, 10, 0.761606, 5.0548e-07, 9.69637, 2099572, 500525, 10602664, 1000.03
4.4, 10, 0.772856, 1.24362e-06, 9.71606, 2199534, 499612, 11117477, 1000.01
4.6, 10, 0.782608, 1.29328e-06, 9.73101, 2300226, 500051, 11633738, 1000.02
4.8, 10, 0.79117, 0, 9.74611, 2400739, 501347, 12143662, 1000.03
